object_id,confidence,nb_point,algo_center_x,algo_center_y,algo_center_z,timestamp
2,0.88079708814621,4,99.2836608886719,-5.95369815826416,-3.22831583023071,6804
2,0.982013761997223,2,100.074905395508,-5.82495880126953,-3.38552951812744,6805
2,0.997527360916138,5,100.258308410645,-6.06532001495361,-3.27335476875305,6806
2,0.88079708814621,2,192.215194702148,5.36782598495483,-3.98444890975952,6822
2,0.88079708814621,,,-2.25217986106873,-1.62168002128601,6837
2,0.982013761997223,3,54.5373725891113,-2.45341038703918,-1.38048732280731,6838
2,0.952574133872986,10,53.4541931152344,-3.4122531414032,-1.50007462501526,6839
2,0.88079708814621,4,54.2827796936035,-2.68033218383789,-1.51625537872314,6840
2,0.952574133872986,6,53.3601570129395,-3.43474006652832,-1.63030016422272,6841
2,0.997527360916138,5,54.5165176391602,-2.74040174484253,-1.67989468574524,6842
2,0.999088943004608,0,52.1018562316895,-3.721510887146,-1.52359342575073,6843
2,0.993307173252106,0,51.4756240844727,-3.08572101593018,-1.37715518474579,6844
2,0.993307173252106,6,54.658016204834,-3.51864242553711,-1.52673661708832,6845
2,0.999088943004608,,,-3.37876319885254,-1.50814485549927,6846 
2,0.999983310699463,3,56.2087135314941,-3.18890261650085,-1.57005155086517,6847
2,0.999997735023499,10,52.7109794616699,-3.13068103790283,-1.54140543937683,6848
2,0.99999988079071,6,54.4752464294434,-2.61048650741577,-1.59299755096436,6849
2,0.999999940395355,5,52.4343147277832,-3.37431406974792,-1.53331542015076,6850
2,0.99999988079071,4,51.7137184143066,-3.85432982444763,-1.46144759654999,6851
2,1.0,3,53.1551322937012,-4.79803419113159,-1.55439412593842,6852
2,1.0,0,54.0743751525879,-6.1934027671814,-1.46331691741943,6853
2,0.999999940395355,3,53.5119972229004,-5.90760660171509,-1.56482970714569,6854
2,0.999999701976776,0,55.2425422668457,-6.03814363479614,-1.54305398464203,6855
2,0.999999940395355,3,54.0932426452637,-6.00262069702148,-1.55818367004395,6856
2,1.0,3,55.9511070251465,-4.78803062438965,-1.78277158737183,6857
2,1.0,5,56.3596878051758,-3.32935833930969,-1.57426869869232,6858
2,1.0,,,-3.50366735458374,-1.53692555427551,6859 
2,1.0,0,55.712574005127,-2.44111132621765,-1.4102349281311,6860
2,1.0,7,55.1723594665527,-2.21822214126587,-1.48944199085236,6861
2,1.0,,,-2.85805201530457,-1.40575158596039,6862
2,1.0,7,54.428295135498,-2.73554444313049,-1.5916246175766,6863
